load,prefill_priority,decode_policy,cache_policy,cache_budget,makespan_ms,lat_p50,lat_p90,lat_p95,lat_p99,ttft_p50,tpot_p50,throughput_rps,throughput_tokens_s,prefill_hit_rate
0.7,0.7,fcfs,lfu,65536,196035,55233.8,88811.6,92759.6,96399,55228.1,0.790816,25.5056,701.762,0.297688
0.7,0.7,fcfs,cost,0,194912,55229.2,87801.4,91702.5,95291.9,55223.5,0.790816,25.6526,705.806,0.301686
0.7,0.7,fcfs,cost,32768,210123,60285.7,101429,105987,110029,60284.6,0.752551,23.7956,654.713,0.24714
0.7,0.7,fcfs,cost,65536,196035,55233.8,88811.6,92759.6,96399,55228.1,0.790816,25.5056,701.762,0.297688
0.7,0.7,slo,lru,0,194912,55229.2,87801.4,91702.5,95291.9,55223.5,0.790816,25.6526,705.806,0.301686
0.7,0.7,slo,lru,32768,209777,60575.3,101013,105890,109856,60550.7,0.752551,23.8348,655.792,0.248371
0.7,0.7,slo,lru,65536,196138,55233.8,88726.7,92813.6,96384.4,55228.1,0.790816,25.4922,701.393,0.29736
0.7,0.7,slo,lfu,0,194912,55229.2,87801.4,91702.5,95291.9,55223.5,0.790816,25.6526,705.806,0.301686
0.7,0.7,slo,lfu,32768,210123,60285.7,101429,105987,110029,60284.6,0.752551,23.7956,654.713,0.24714
0.7,0.7,slo,lfu,65536,196035,55233.8,88811.6,92759.6,96399,55228.1,0.790816,25.5056,701.762,0.297688
0.7,0.7,slo,cost,0,194912,55229.2,87801.4,91702.5,95291.9,55223.5,0.790816,25.6526,705.806,0.301686
0.7,0.7,slo,cost,32768,210123,60285.7,101429,105987,110029,60284.6,0.752551,23.7956,654.713,0.24714
0.7,0.7,slo,cost,65536,196035,55233.8,88811.6,92759.6,96399,55228.1,0.790816,25.5056,701.762,0.297688
0.9,0.5,fcfs,lru,0,151636,31774.2,48518.7,50412.9,52418.3,31767.1,0.619658,32.9737,907.238,0.301686
0.9,0.5,fcfs,lru,32768,163198,35890.5,58759.2,61523.6,63843.8,35885.1,0.586963,30.6377,842.966,0.248371
0.9,0.5,fcfs,lru,65536,152562,31777.8,49197.4,51277.1,53338.2,31770.6,0.615079,32.7735,901.731,0.29736
0.9,0.5,fcfs,lfu,0,151636,31774.2,48518.7,50412.9,52418.3,31767.1,0.619658,32.9737,907.238,0.301686
0.9,0.5,fcfs,lfu,32768,163466,35722.4,59084.5,61509.9,64004.5,35712,0.585167,30.5873,841.58,0.24714
0.9,0.5,fcfs,lfu,65536,152513,31777.8,49275.7,51235.1,53273.4,31770.6,0.613426,32.7842,902.024,0.297688
0.9,0.5,fcfs,cost,0,151636,31774.2,48518.7,50412.9,52418.3,31767.1,0.619658,32.9737,907.238,0.301686
0.9,0.5,fcfs,cost,32768,163466,35722.4,59084.5,61509.9,64004.5,35712,0.585167,30.5873,841.58,0.24714
0.9,0.5,fcfs,cost,65536,152513,31777.8,49275.7,51235.1,53273.4,31770.6,0.613426,32.7842,902.024,0.297688
0.9,0.5,slo,lru,0,151636,31774.2,48518.7,50412.9,52418.3,31767.1,0.619658,32.9737,907.238,0.301686
0.9,0.5,slo,lru,32768,163198,35890.5,58759.2,61523.6,63843.8,35885.1,0.586963,30.6377,842.966,0.248371
0.9,0.5,slo,lru,65536,152562,31777.8,49197.4,51277.1,53338.2,31770.6,0.615079,32.7735,901.731,0.29736
0.9,0.5,slo,lfu,0,151636,31774.2,48518.7,50412.9,52418.3,31767.1,0.619658,32.9737,907.238,0.301686
0.9,0.5,slo,lfu,32768,163466,35722.4,59084.5,61509.9,64004.5,35712,0.585167,30.5873,841.58,0.24714
0.9,0.5,slo,lfu,65536,152513,31777.8,49275.7,51235.1,53273.4,31770.6,0.613426,32.7842,902.024,0.297688
0.9,0.5,slo,cost,0,151636,31774.2,48518.7,50412.9,52418.3,31767.1,0.619658,32.9737,907.238,0.301686
0.9,0.5,slo,cost,32768,163466,35722.4,59084.5,61509.9,64004.5,35712,0.585167,30.5873,841.58,0.24714
0.9,0.5,slo,cost,65536,152513,31777.8,49275.7,51235.1,53273.4,31770.6,0.613426,32.7842,902.024,0.297688
0.9,0.7,fcfs,lru,0,151636,31774.2,48518.7,50412.9,52418.3,31767.1,0.619658,32.9737,907.238,0.301686
0.9,0.7,fcfs,lru,32768,163198,35890.5,58759.2,61523.6,63843.8,35885.1,0.586963,30.6377,842.966,0.248371
0.9,0.7,fcfs,lru,65536,152562,31777.8,49197.4,51277.1,53338.2,31770.6,0.615079,32.7735,901.731,0.29736
0.9,0.7,fcfs,lfu,0,151636,31774.2,48518.7,50412.9,52418.3,31767.1,0.619658,32.9737,907.238,0.301686
0.9,0.7,fcfs,lfu,32768,163466,35722.4,59084.5,61509.9,64004.5,35712,0.585167,30.5873,841.58,0.24714
0.9,0.7,fcfs,lfu,65536,152513,31777.8,49275.7,51235.1,53273.4,31770.6,0.613426,32.7842,902.024,0.297688
0.9,0.7,fcfs,cost,0,151636,31774.2,48518.7,50412.9,52418.3,31767.1,0.619658,32.9737,907.238,0.301686
0.9,0.7,fcfs,cost,32768,163466,35722.4,59084.5,61509.9,64004.5,35712,0.585167,30.5873,841.58,0.24714
0.9,0.7,fcfs,cost,65536,152513,31777.8,49275.7,51235.1,53273.4,31770.6,0.613426,32.7842,902.024,0.297688
0.9,0.7,slo,lru,0,151636,31774.2,48518.7,50412.9,52418.3,31767.1,0.619658,32.9737,907.238,0.301686
0.9,0.7,slo,lru,32768,163198,35890.5,58759.2,61523.6,63843.8,35885.1,0.586963,30.6377,842.966,0.248371
0.9,0.7,slo,lru,65536,152562,31777.8,49197.4,51277.1,53338.2,31770.6,0.615079,32.7735,901.731,0.29736
0.9,0.7,slo,lfu,0,151636,31774.2,48518.7,50412.9,52418.3,31767.1,0.619658,32.9737,907.238,0.301686
0.9,0.7,slo,lfu,32768,163466,35722.4,59084.5,61509.9,64004.5,35712,0.585167,30.5873,841.58,0.24714
0.9,0.7,slo,lfu,65536,152513,31777.8,49275.7,51235.1,53273.4,31770.6,0.613426,32.7842,902.024,0.297688
0.9,0.7,slo,cost,0,151636,31774.2,48518.7,50412.9,52418.3,31767.1,0.619658,32.9737,907.238,0.301686
0.9,0.7,slo,cost,32768,163466,35722.4,59084.5,61509.9,64004.5,35712,0.585167,30.5873,841.58,0.24714
0.9,0.7,slo,cost,65536,152513,31777.8,49275.7,51235.1,53273.4,31770.6,0.613426,32.7842,902.024,0.297688
